translated,original
ministry of home affairs,kementerian dalam negeri
ministry of home affairs,mendagri
ministry of home affairs,kemendagri
ministry of internal affairs,kementerian dalam negeri
ministry of internal affairs,mendagri
ministry of internal affairs,kemendagri
ministry of transportation,kementerian perhubungan
ministry of transportation,kemenhub
ministry of transportation,menteri perhubungan
army,tentara
indonesian national police,polri
indonesian army,tni
indonesian national police,kepolisian negara republik indonesia
indonesian state intelligence agency,bin
indonesian national armed forces,tni
constitutional court,mk
constitutional court,mahkamah konstitusi
golkar party,partai golkar
indonesian democratic party,partai demokrasi indonesia perjuangan
indonesian democratic party,pdip
democratic party,partai demokrat
gerindra party,partai gerindra
nasdem party,partai nasdem
hanura party,partai hanura
ppp partai,partai ppp
united development party,partai persatuan pembangunan
pks party,partai pks
pkb party,partai pkb
pan party,partai pan
komisi pemberantasan korupsi,kpk
